#{"t_start": 1619967496.3454528, "env_id": null}
r,l,t
-2,1000,1699.750071
-2,1000,1704.127501
-1,1000,1707.519777
0,1000,1712.184026
-3,1000,1715.616262
-1,1000,1720.008711
0,1000,1723.457308
-2,1000,1728.024084
-1,1000,1731.479651
0,1000,1735.937767
-1,1000,1739.441606
-3,1000,1744.15346
-3,1000,1747.601071
-2,1000,1752.049637
-4,1000,1755.442784
-1,1000,1759.865903
0,1000,1763.246441
-4,1000,1766.724707
-2,1000,1771.538786
-1,1000,1774.931682
-1,1000,1779.303384
-2,1000,1782.726185
-2,1000,1787.177573
-2,1000,1790.592256
-3,1000,1795.033546
-1,1000,1798.410656
-1,1000,1803.151301
-2,1000,1806.548622
-2,1000,1812.187615
1,1000,1816.25521
-3,1000,1821.479803
-4,1000,1825.438177
-5,1000,1830.629989
-3,1000,1834.705572
-1,1000,1839.931998
-4,1000,1843.959305
-2,1000,1849.201549
-3,1000,1853.529876
-1,1000,1857.951332
-1,1000,1861.618786
0,1000,1866.020582
-2,1000,1869.41297
-2,1000,1873.810488
-1,1000,1877.218942
-4,1000,1881.647875
-3,1000,1885.230337
0,1000,1889.710696
-3,1000,1893.260262
-1,1000,1897.683489
0,1000,1901.123804
-2,1000,1905.604125
-2,1000,1908.965331
0,1000,1913.372174
-2,1000,1916.768556
-2,1000,1921.391497
0,1000,1924.813165
-3,1000,1929.276168
-1,1000,1932.706171
-3,1000,1937.13577
-3,1000,1940.55261
-2,1000,1943.931927
-2,1000,1948.34801
-3,1000,1951.989274
-3,1000,1956.495129
-2,1000,1959.914953
0,1000,1964.423746
-1,1000,1967.838161
-1,1000,1972.271731
-5,1000,1975.676023
-3,1000,1980.263063
-4,1000,1983.716968
-2,1000,1988.169163
-1,1000,1991.519846
-2,1000,1995.944001
-4,1000,1999.328018
-3,1000,2003.746682
-4,1000,2007.160855
-2,1000,2011.85996
-2,1000,2015.203979
-2,1000,2019.630204
-1,1000,2023.044239
-3,1000,2027.501178
-3,1000,2030.959841
-2,1000,2035.405716
-3,1000,2038.777042
-3,1000,2043.504249
-3,1000,2047.051576
-1,1000,2051.461567
-2,1000,2054.865375
-2,1000,2059.322917
-2,1000,2062.672627
-1,1000,2067.197257
-3,1000,2070.772927
-1,1000,2075.253989
-2,1000,2078.610161
-2,1000,2083.095394
0,1000,2086.496026
0,1000,2090.950273
0,1000,2094.294105
-3,1000,2098.688641
0,1000,2102.410457
-3,1000,2105.92497
-1,1000,2110.343604
-2,1000,2113.725798
-1,1000,2118.209991
-1,1000,2121.570046
-2,1000,2125.990875
-3,1000,2129.45712
0,1000,2134.052772
0,1000,2137.482981
-1,1000,2141.924272
