#{"t_start": 1619905634.891071, "env_id": null}
r,l,t
0,1000,2858.110398
-2,1000,2861.919669
-4,1000,2865.711535
-2,1000,2869.552417
-6,1000,2873.374211
-4,1000,2877.209813
-3,1000,2881.099072
-3,1000,2885.10346
-1,1000,2888.891362
-1,1000,2892.712236
-1,1000,2896.513223
-1,1000,2900.346217
-2,1000,2904.106174
-1,1000,2908.02503
-1,1000,2912.010178
-2,1000,2915.945199
-2,1000,2920.098225
-2,1000,2924.022535
-3,1000,2927.799453
-3,1000,2931.634677
-4,1000,2935.545539
-2,1000,2939.428231
-3,1000,2943.491592
0,1000,2947.457565
-1,1000,2951.299381
-2,1000,2955.245165
-5,1000,2959.049002
-1,1000,2962.845299
-3,1000,2966.728212
-1,1000,2970.520507
0,1000,2974.808802
-2,1000,2978.63964
-2,1000,2982.4287
-4,1000,2986.236468
-4,1000,2990.12618
-3,1000,2993.926577
-3,1000,2997.733377
-3,1000,3001.759089
-2,1000,3005.737399
-1,1000,3009.570336
-3,1000,3013.337616
-2,1000,3017.148521
-4,1000,3021.456359
-1,1000,3025.684548
0,1000,3029.589491
0,1000,3033.705129
-3,1000,3037.581784
-1,1000,3041.4803
-4,1000,3045.30476
-2,1000,3049.16551
-3,1000,3052.974548
-4,1000,3056.869244
0,1000,3060.776744
-3,1000,3064.787061
-3,1000,3068.59939
-2,1000,3072.504362
-3,1000,3076.263238
-4,1000,3080.043335
-2,1000,3083.808512
-2,1000,3087.586408
-1,1000,3091.476975
0,1000,3095.466598
-6,1000,3099.267483
-3,1000,3103.116224
-4,1000,3106.923226
-2,1000,3110.772262
-3,1000,3114.561157
-2,1000,3118.369392
-1,1000,3122.424547
-4,1000,3126.294225
-1,1000,3130.088929
-5,1000,3133.844651
-1,1000,3137.649338
-3,1000,3141.442283
1,1000,3145.287324
-3,1000,3149.056375
0,1000,3153.103343
-3,1000,3156.92147
-3,1000,3160.665189
2,1000,3164.49049
-3,1000,3168.284402
-3,1000,3172.089307
-2,1000,3175.907563
-4,1000,3179.693475
0,1000,3183.922292
-9,1000,3187.655394
-4,1000,3191.495406
-2,1000,3195.330231
-3,1000,3199.104315
-3,1000,3202.901822
-3,1000,3206.685544
-3,1000,3210.494201
-5,1000,3214.510612
-3,1000,3218.616208
-3,1000,3222.6632
-2,1000,3226.479662
-1,1000,3230.23051
-3,1000,3234.004563
-3,1000,3237.897986
-2,1000,3242.106974
-2,1000,3246.368455
-3,1000,3250.160524
-9,1000,3253.963247
-6,1000,3257.762911
-5,1000,3261.532591
-3,1000,3265.515315
-5,1000,3269.35427
-1,1000,3273.482164
-1,1000,3277.277438
-10,1000,3281.101341
-6,1000,3284.936432
-4,1000,3288.756009
