#{"t_start": 1620060548.79857, "env_id": null}
r,l,t
-2,1000,9227.665052
-3,1000,9251.813094
-2,1000,9272.566101
-2,1000,9298.128283
-1,1000,9320.769094
-3,1000,9336.437681
-3,1000,9352.446524
-5,1000,9369.949409
-2,1000,9400.503122
-2,1000,9427.466102
-2,1000,9454.737214
-2,1000,9482.926035
-2,1000,9511.87908
-3,1000,9539.12861
-2,1000,9566.458194
0,1000,9592.670158
-1,1000,9616.225165
-3,1000,9642.883987
-3,1000,9669.303223
0,1000,9700.551335
-2,1000,9726.916199
-4,1000,9750.486193
-2,1000,9775.248176
-2,1000,9797.755228
-4,1000,9819.670088
-2,1000,9837.054204
-2,1000,9857.809125
-3,1000,9879.296203
-3,1000,9902.748214
-1,1000,9922.970223
-1,1000,9946.284199
-1,1000,9976.87724
-3,1000,10007.29328
-5,1000,10035.757239
-3,1000,10067.564268
-4,1000,10096.865303
-1,1000,10129.605286
0,1000,10157.423404
-1,1000,10179.535943
-4,1000,10209.119252
-2,1000,10243.508852
0,1000,10276.905992
-3,1000,10317.014406
-1,1000,10343.860679
-2,1000,10372.166724
-2,1000,10400.750643
0,1000,10417.544838
-3,1000,10430.171751
-1,1000,10442.988819
-2,1000,10458.846454
-3,1000,10479.545768
-1,1000,10507.10293
-1,1000,10534.703305
-1,1000,10561.155439
-1,1000,10590.181378
-1,1000,10614.890377
-2,1000,10650.337992
-2,1000,10668.484413
-2,1000,10690.509404
-1,1000,10709.512386
-1,1000,10729.032423
0,1000,10746.895448
-1,1000,10773.222468
-3,1000,10817.957237
-4,1000,10843.764026
-3,1000,10864.510824
-1,1000,10878.96523
-1,1000,10895.355059
-4,1000,10920.30713
-4,1000,10956.308916
-1,1000,10979.272597
-1,1000,10986.192755
0,1000,10991.833565
-1,1000,10997.033255
-2,1000,11001.471508
-1,1000,11005.858552
-3,1000,11010.391626
-1,1000,11014.87954
-2,1000,11019.320662
-2,1000,11023.662528
-1,1000,11027.982386
-1,1000,11032.317683
-1,1000,11036.614993
-3,1000,11040.89664
-4,1000,11045.210498
-1,1000,11049.415504
-3,1000,11053.624192
0,1000,11057.823589
-2,1000,11062.125709
-2,1000,11066.412462
-1,1000,11070.612931
-3,1000,11075.012618
0,1000,11079.288669
-2,1000,11083.507397
-3,1000,11087.754769
-2,1000,11091.986474
-3,1000,11096.27144
-9,1000,11100.439338
-12,1000,11104.614627
-9,1000,11108.784648
-4,1000,11112.827314
-4,1000,11116.916338
-5,1000,11121.130408
-9,1000,11125.425358
-11,1000,11129.652182
-13,1000,11133.95385
-7,1000,11138.363231
-4,1000,11142.743375
-6,1000,11146.993626
-3,1000,11151.307223
-4,1000,11155.605338
-7,1000,11159.831433
-4,1000,11164.173206
-2,1000,11168.495462
-9,1000,11172.735707
-4,1000,11177.044319
-6,1000,11181.269222
-5,1000,11185.640852
-10,1000,11189.840689
-6,1000,11193.92065
-4,1000,11198.065643
-7,1000,11202.108117
-2,1000,11206.538266
-10,1000,11210.697583
-4,1000,11215.040421
-5,1000,11219.311217
-2,1000,11223.604459
-2,1000,11228.130522
-4,1000,11232.345041
-2,1000,11236.56558
-1,1000,11243.248473
-8,1000,11248.370373
-1,1000,11253.718289
-5,1000,11258.688078
-7,1000,11263.7601
-2,1000,11268.712528
-2,1000,11273.753574
-5,1000,11278.644216
-4,1000,11283.604529
-3,1000,11288.355179
-3,1000,11292.620276
-4,1000,11296.712185
-1,1000,11300.864156
-3,1000,11305.065536
-3,1000,11309.261024
-4,1000,11313.556175
-6,1000,11317.81159
-4,1000,11322.075445
-3,1000,11326.312538
-3,1000,11330.520399
-3,1000,11334.758556
-5,1000,11338.881016
-4,1000,11343.101288
-3,1000,11347.475271
-4,1000,11351.743078
-2,1000,11356.001047
-1,1000,11360.261508
-1,1000,11364.710348
-3,1000,11368.941357
-1,1000,11373.233778
-2,1000,11377.622443
-7,1000,11381.844123
-6,1000,11386.090114
-4,1000,11390.364208
-7,1000,11394.549449
-5,1000,11399.015438
-4,1000,11403.075979
-3,1000,11407.587649
-5,1000,11411.782477
-3,1000,11415.972235
0,1000,11420.519926
-3,1000,11424.822298
-2,1000,11429.23304
-3,1000,11433.461944
-4,1000,11437.949454
-4,1000,11442.242488
-2,1000,11446.487171
-3,1000,11450.704023
-6,1000,11454.84745
-1,1000,11459.215198
-2,1000,11463.448419
-3,1000,11467.765496
-8,1000,11471.916513
-3,1000,11476.106125
-4,1000,11480.366116
-3,1000,11484.78851
-3,1000,11489.004302
-3,1000,11493.217966
-1,1000,11497.737423
-4,1000,11502.155285
-4,1000,11506.720296
-3,1000,11511.128344
-3,1000,11515.527164
-5,1000,11519.878618
-2,1000,11524.328337
0,1000,11528.848282
-5,1000,11533.162643
-1,1000,11537.513533
-2,1000,11541.880102
0,1000,11546.804588
-4,1000,11551.216477
-5,1000,11555.613034
-4,1000,11559.912256
-1,1000,11564.286575
-2,1000,11568.677598
-3,1000,11572.993389
-10,1000,11577.277436
-13,1000,11581.546691
-5,1000,11585.983194
-5,1000,11590.327272
-5,1000,11594.650325
-11,1000,11598.944478
-11,1000,11603.206239
-3,1000,11607.617395
-3,1000,11612.011493
-13,1000,11616.378808
-9,1000,11620.64326
-14,1000,11624.840359
-12,1000,11628.885185
-13,1000,11633.140589
-12,1000,11637.389151
-11,1000,11641.652868
-10,1000,11646.020421
-6,1000,11650.354537
-14,1000,11654.61317
-14,1000,11658.926231
-12,1000,11663.204435
-13,1000,11667.470539
-11,1000,11671.754412
-13,1000,11676.025187
-13,1000,11680.069529
-5,1000,11684.447246
-14,1000,11688.795385
-13,1000,11692.879575
-12,1000,11696.893452
-12,1000,11700.901931
-6,1000,11705.097149
-9,1000,11709.229121
-12,1000,11713.213215
0,1000,11717.323682
-13,1000,11721.324602
-13,1000,11725.345439
-9,1000,11729.370635
-13,1000,11733.40653
-14,1000,11737.524271
-14,1000,11741.541196
-13,1000,11745.568452
-4,1000,11749.629297
-13,1000,11753.650579
-14,1000,11757.68433
-14,1000,11761.686235
-11,1000,11766.065074
-11,1000,11770.390255
-9,1000,11774.658257
-3,1000,11778.994599
-14,1000,11783.259425
-12,1000,11787.343349
-13,1000,11791.617299
-12,1000,11795.963338
-14,1000,11800.026537
-14,1000,11804.255191
-7,1000,11808.395448
-13,1000,11812.440185
-10,1000,11816.647358
-4,1000,11820.976424
-14,1000,11825.14778
-5,1000,11829.283324
-3,1000,11833.351275
-2,1000,11837.519254
-2,1000,11841.670391
-3,1000,11845.824117
-2,1000,11850.240429
-4,1000,11854.679365
-3,1000,11858.898426
0,1000,11862.917316
-4,1000,11866.956037
-1,1000,11871.178329
-3,1000,11875.229518
-3,1000,11879.289341
-3,1000,11883.48916
-2,1000,11887.730314
-3,1000,11891.721123
-3,1000,11896.57945
-2,1000,11901.512356
-6,1000,11906.168624
-3,1000,11910.728071
-2,1000,11915.420223
-2,1000,11920.085634
-3,1000,11924.754654
0,1000,11929.439872
-1,1000,11934.231262
-4,1000,11938.855315
-3,1000,11943.532455
-1,1000,11948.323435
-3,1000,11952.862962
-2,1000,11957.535035
-3,1000,11962.15806
-1,1000,11966.928377
0,1000,11971.641322
-2,1000,11976.372176
-2,1000,11981.002336
-4,1000,11985.596219
-2,1000,11990.279048
-1,1000,11995.028836
-1,1000,11999.748948
-1,1000,12004.397426
-3,1000,12009.152673
-5,1000,12013.731134
-1,1000,12018.410658
-4,1000,12022.925881
-5,1000,12027.46188
-2,1000,12032.078489
-3,1000,12036.736763
-11,1000,12041.242839
-8,1000,12045.758342
-2,1000,12050.372919
-4,1000,12054.986873
-3,1000,12059.441155
-4,1000,12064.162561
-1,1000,12069.090197
-1,1000,12073.756985
-2,1000,12078.31115
0,1000,12082.98772
-2,1000,12087.537888
-2,1000,12092.125136
-2,1000,12096.877563
-4,1000,12101.476135
-3,1000,12106.157473
-6,1000,12110.684363
-2,1000,12115.358373
0,1000,12120.010573
-4,1000,12124.607317
-1,1000,12129.297084
-1,1000,12133.918051
-3,1000,12138.499102
-2,1000,12143.210515
-2,1000,12147.854642
-1,1000,12152.466367
-1,1000,12158.210043
-2,1000,12162.850195
-5,1000,12167.398354
-3,1000,12172.025147
-3,1000,12176.59015
-2,1000,12181.286916
-3,1000,12186.051351
0,1000,12190.766543
-8,1000,12195.305448
-6,1000,12199.827735
-7,1000,12204.321663
-3,1000,12208.904923
-4,1000,12213.462945
-8,1000,12218.13732
-11,1000,12222.680887
-4,1000,12227.242579
-2,1000,12232.045466
-6,1000,12236.645349
-4,1000,12241.216204
-1,1000,12245.951302
-6,1000,12250.498186
-7,1000,12255.380891
-7,1000,12260.105233
-4,1000,12264.729258
-7,1000,12269.355095
-3,1000,12274.11892
-2,1000,12278.780018
-12,1000,12283.259113
-5,1000,12287.905025
-2,1000,12292.482579
-6,1000,12296.996301
-3,1000,12301.554141
-3,1000,12306.25751
-4,1000,12310.986538
-2,1000,12315.742273
-5,1000,12320.275552
-2,1000,12324.916093
-6,1000,12329.401388
-4,1000,12334.028101
-11,1000,12338.600345
-8,1000,12343.157165
-11,1000,12347.720285
-9,1000,12352.219031
-6,1000,12356.746714
-7,1000,12361.290666
-8,1000,12365.93538
-6,1000,12370.450164
-11,1000,12374.928982
-1,1000,12379.632956
-3,1000,12384.216574
-2,1000,12389.017132
-1,1000,12393.548465
-2,1000,12398.289926
-4,1000,12402.987945
-2,1000,12408.001546
-4,1000,12412.578835
-4,1000,12417.16577
-9,1000,12421.652846
-6,1000,12426.679384
-2,1000,12431.349205
0,1000,12435.997291
-4,1000,12440.597516
-4,1000,12445.301081
-1,1000,12449.861394
-3,1000,12454.512247
-4,1000,12459.54513
-2,1000,12464.987803
0,1000,12469.683366
-2,1000,12474.345216
-3,1000,12479.044077
-3,1000,12483.647513
-2,1000,12488.453097
-3,1000,12493.051611
-5,1000,12497.593338
-2,1000,12502.281368
0,1000,12507.039413
-1,1000,12511.742213
-3,1000,12516.394551
-2,1000,12521.025169
-4,1000,12525.649592
-2,1000,12530.246632
-4,1000,12534.823766
-2,1000,12539.693485
-1,1000,12544.370413
-2,1000,12549.012655
-2,1000,12553.662273
-2,1000,12558.588637
-2,1000,12563.285322
-2,1000,12567.90581
-11,1000,12572.466398
-3,1000,12577.179984
-5,1000,12581.812222
-6,1000,12586.385474
0,1000,12591.051097
